Name,Serial_Num,year,Basin,Sub_basin,Num,Latitude_first,Longitude_first,Latitude_last,Longitude_last,ISO_time_first,ISO_time_last,Nature
ADJALI,2014319S06066,2015, SI, MM,1,-6.7,66.4,-11.9,51.4,2014-11-15 06:00:00,2014-11-24 06:00:00, TS
0220142015:TWO,2014327S08077,2015, SI, MM,2,-8.0,77.3,-28.9,62.5,2014-11-23 06:00:00,2014-12-02 00:00:00, TS
KATE,2014356S08101,2015, SI, WA,4,-7.5,100.5,-30.0,89.6,2014-12-21 15:00:00,2015-01-04 12:00:00, NR
BANSI,2015009S19054,2015, SI, MM,5,-18.9,53.9,-30.1,88.0,2015-01-08 12:00:00,2015-01-19 00:00:00, TS
MEKKHALA,2015012N09146,2015, WP, MM,1,8.7,142.9,17.3,125.2,2015-01-13 00:00:00,2015-01-20 18:00:00, TS
CHEDZA,2015013S18038,2015, SI, MM,6,-17.5,37.6,-40.4,68.2,2015-01-13 06:00:00,2015-01-22 12:00:00, TS
NIKO,2015020S12208,2015, SP, MM,1,-13.7,-150.7,-26.4,-146.5,2015-01-20 18:00:00,2015-01-24 00:00:00, NR
DIAMONDRA,2015024S11090,2015, SI, WA,7,-11.2,90.0,-29.8,87.6,2015-01-24 06:00:00,2015-02-01 06:00:00, TS
EUNICE,2015024S15078,2015, SI, MM,8,-15.1,77.6,-25.9,88.7,2015-01-24 06:00:00,2015-02-02 06:00:00, TS
OLA,2015030S16161,2015, SP, MM,2,-17.5,160.0,-34.8,172.7,2015-01-30 18:00:00,2015-02-04 12:00:00, NR
FUNDI,2015036S20038,2015, SI, MM,9,-19.8,37.6,-39.3,43.9,2015-02-05 00:00:00,2015-02-11 12:00:00, TS
HIGOS,2015038N08158,2015, WP, MM,2,8.6,158.3,18.2,152.8,2015-02-06 12:00:00,2015-02-12 12:00:00, TS
LAM,2015045S12145,2015, SP, EA,3,-12.3,145.1,-14.8,133.0,2015-02-14 00:00:00,2015-02-20 18:00:00, NR
MARCIA,2015047S15152,2015, SP, EA,4,-15.0,152.3,-25.4,151.8,2015-02-16 06:00:00,2015-02-20 18:00:00, NR
GLENDA,2015050S11094,2015, SI, MM,10,-11.5,89.7,-43.8,81.5,2015-02-20 12:00:00,2015-03-03 00:00:00, TS
HALIBA,2015064S14052,2015, SI, MM,12,-14.0,51.9,-29.3,64.1,2015-03-04 18:00:00,2015-03-13 00:00:00, TS
PAM,2015066S08170,2015, SP, MM,5,-8.0,169.5,-45.2,-148.0,2015-03-07 06:00:00,2015-03-20 00:00:00, NR
NATHAN,2015068S12151,2015, SP, EA,6,-12.4,151.3,-13.0,126.0,2015-03-09 00:00:00,2015-03-27 00:00:00, NR
OLWYN,2015068S14112,2015, SI, WA,13,-14.0,112.5,-34.0,120.0,2015-03-08 14:00:00,2015-03-14 16:00:00, NR
BAVI,2015069N04173,2015, WP, MM,3,4.3,173.4,13.8,121.7,2015-03-10 06:00:00,2015-03-21 12:00:00, TS
REUBEN,2015079S15182,2015, SP, MM,7,-17.8,-178.0,-28.7,-170.4,2015-03-20 12:00:00,2015-03-25 12:00:00, NR
MAYSAK,2015085N06162,2015, WP, MM,4,6.7,159.9,20.6,116.8,2015-03-26 12:00:00,2015-04-07 00:00:00, TS
HAISHEN,2015092N06161,2015, WP, MM,5,7.3,156.9,8.9,150.7,2015-04-02 18:00:00,2015-04-06 00:00:00, TS
JOALANE,2015092S18074,2015, SI, MM,14,-18.0,73.9,-37.7,83.6,2015-04-02 00:00:00,2015-04-17 12:00:00, TS
IKOLA,2015094S10087,2015, SI, MM,15,-10.2,86.9,-21.2,97.9,2015-04-04 06:00:00,2015-04-08 03:00:00, TS
SOLO,2015099S13163,2015, SP, MM,8,-13.6,160.4,-20.3,166.0,2015-04-10 00:00:00,2015-04-12 00:00:00, NR
QUANG,2015117S12115,2015, SI, WA,16,-12.0,115.0,-22.3,114.7,2015-04-27 00:00:00,2015-05-01 12:00:00, NR
NOUL,2015122N07144,2015, WP, MM,6,7.4,144.1,48.7,178.1,2015-05-02 06:00:00,2015-05-16 00:00:00, TS
ANA,2015126N27281,2015, NA, NA,1,26.8,-79.2,43.0,-67.0,2015-05-06 06:00:00,2015-05-12 18:00:00, DS
DOLPHIN,2015127N04158,2015, WP, MM,7,4.0,157.9,56.0,178.4,2015-05-06 12:00:00,2015-05-24 00:00:00, TS
ANDRES,2015148N11250,2015, EP, MM,1,10.8,-109.9,18.3,-119.9,2015-05-28 06:00:00,2015-06-07 00:00:00, TS
BLANCA,2015152N12258,2015, EP, MM,2,12.0,-102.2,28.5,-114.0,2015-05-31 12:00:00,2015-06-09 06:00:00, TS
ASHOBAA,2015157N13069,2015, NI, AS,1,14.5,68.5,20.8,59.5,2015-06-07 03:00:00,2015-06-12 06:00:00, NR
CARLOS,2015162N12262,2015, EP, MM,3,11.5,-97.8,21.4,-106.2,2015-06-10 12:00:00,2015-06-18 00:00:00, DS
BILL,2015167N27266,2015, NA, GM,2,27.0,-94.3,38.9,-81.3,2015-06-16 00:00:00,2015-06-21 00:00:00, TS
KUJIRA,2015171N15112,2015, WP, MM,8,15.0,112.2,22.4,105.9,2015-06-19 18:00:00,2015-06-25 00:00:00, TS
NOT NAMED,2015171N19086,2015, NI, BB,2,18.0,86.0,21.0,84.5,2015-06-20 03:00:00,2015-06-21 18:00:00, NR
NOT NAMED,2015173N20067,2015, NI, AS,3,20.0,67.0,26.0,76.0,2015-06-22 03:00:00,2015-06-24 18:00:00, NR
CHAN-HOM,2015180N09160,2015, WP, MM,9,8.6,160.4,40.0,126.0,2015-06-29 06:00:00,2015-07-13 00:00:00, TS
RAQUEL,2015180S04163,2015, SP, MM,9,-4.0,163.4,-7.7,160.8,2015-06-28 18:00:00,2015-07-03 00:00:00, NR
LINFA,2015183N13130,2015, WP, MM,10,13.4,129.8,21.4,111.2,2015-07-01 18:00:00,2015-07-10 00:00:00, TS
NANGKA,2015184N08172,2015, WP, MM,11,8.3,171.8,40.0,136.5,2015-07-02 18:00:00,2015-07-18 06:00:00, TS
HALOLA,2015188N07193,2015, WP, MM,4,13.0,179.8,33.8,130.0,2015-07-13 00:00:00,2015-07-26 12:00:00, TS
ELA,2015189N13223,2015, EP, MM,5,13.4,-136.9,22.7,-155.8,2015-07-07 12:00:00,2015-07-12 12:00:00, DS
NOT NAMED,2015191N23085,2015, NI, BB,4,23.1,85.1,28.5,77.3,2015-07-10 03:00:00,2015-07-12 09:00:00, NR
DOLORES,2015192N11263,2015, EP, MM,6,11.4,-96.6,30.4,-122.3,2015-07-11 00:00:00,2015-07-22 00:00:00, DS
CLAUDETTE,2015193N35285,2015, NA, NA,3,35.4,-75.4,46.0,-55.9,2015-07-12 00:00:00,2015-07-15 12:00:00, DS
ENRIQUE,2015194N13235,2015, EP, MM,7,13.1,-125.0,22.4,-138.5,2015-07-12 12:00:00,2015-07-21 18:00:00, TS
FELICIA,2015204N16247,2015, EP, MM,8,15.9,-113.4,23.9,-126.7,2015-07-22 12:00:00,2015-07-27 18:00:00, DS
KOMEN,2015207N22091,2015, NI, BB,5,22.0,90.8,23.1,85.5,2015-07-26 00:00:00,2015-08-02 09:00:00, NR
GUILLERMO,2015209N07248,2015, EP, MM,9,6.5,-112.5,23.8,-164.9,2015-07-27 12:00:00,2015-08-08 18:00:00, DS
EIGHT,2015209N15236,2015, EP, MM,10,15.1,-123.9,16.5,-143.5,2015-07-27 12:00:00,2015-07-31 06:00:00, DS
NOT NAMED,2015209N26072,2015, NI, AS,6,26.2,71.8,28.7,73.4,2015-07-27 12:00:00,2015-07-30 00:00:00, NR
SOUDELOR,2015211N13162,2015, WP, MM,13,13.3,162.2,33.3,126.7,2015-07-29 18:00:00,2015-08-12 00:00:00, TS
NOT NAMED,2015216N23080,2015, NI, BB,7,22.7,80.5,22.7,77.8,2015-08-04 03:00:00,2015-08-04 18:00:00, NR
HILDA,2015218N12231,2015, EP, MM,11,12.4,-129.2,15.2,-159.0,2015-08-06 00:00:00,2015-08-14 18:00:00, TS
MOLAVE,2015218N18149,2015, WP, MM,15,17.6,149.3,39.5,179.9,2015-08-06 00:00:00,2015-08-17 18:00:00, TS
GONI,2015226N12151,2015, WP, MM,16,12.2,151.1,45.5,125.8,2015-08-13 18:00:00,2015-08-30 06:00:00, TS
ATSANI,2015226N15164,2015, WP, MM,17,14.8,163.5,47.7,168.7,2015-08-14 00:00:00,2015-08-29 06:00:00, TS
ELEVEN,2015228N17247,2015, EP, MM,12,16.5,-112.9,29.3,-131.4,2015-08-16 00:00:00,2015-08-20 00:00:00, TS
KILO,2015229N08212,2015, WP, MM,13,24.0,179.8,60.5,159.4,2015-09-02 00:00:00,2015-09-13 00:00:00, TS
DANNY,2015229N10331,2015, NA, NA,4,9.6,-29.3,15.8,-61.3,2015-08-17 00:00:00,2015-08-24 12:00:00, DS
IGNACIO,2015236N12231,2015, EP, MM,14,12.3,-129.3,12.6,-139.0,2015-08-23 18:00:00,2015-08-27 12:00:00, DS
ERIKA,2015237N14315,2015, NA, NA,5,14.3,-45.1,17.6,-68.6,2015-08-24 18:00:00,2015-08-28 12:00:00, TS
JIMENA,2015238N10255,2015, EP, MM,15,9.7,-104.9,24.7,-156.8,2015-08-25 12:00:00,2015-09-10 00:00:00, DS
FRED,2015242N12343,2015, NA, NA,6,11.6,-17.5,25.3,-43.2,2015-08-30 00:00:00,2015-09-06 12:00:00, TS
KEVIN,2015244N12248,2015, EP, MM,16,11.8,-111.7,24.1,-114.8,2015-08-31 18:00:00,2015-09-06 06:00:00, TS
LINDA,2015248N10256,2015, EP, MM,17,10.0,-104.0,27.8,-122.7,2015-09-04 12:00:00,2015-09-14 12:00:00, DS
GRACE,2015248N12337,2015, NA, NA,7,12.0,-23.1,14.0,-46.4,2015-09-05 06:00:00,2015-09-09 06:00:00, TS
ETAU,2015249N18142,2015, WP, MM,18,19.8,139.7,41.0,138.5,2015-09-06 00:00:00,2015-09-11 12:00:00, TS
HENRI,2015251N31298,2015, NA, NA,8,31.1,-62.2,35.7,-60.3,2015-09-08 06:00:00,2015-09-11 06:00:00, DS
VAMCO,2015256N16113,2015, WP, MM,19,15.6,112.9,14.3,105.8,2015-09-13 00:00:00,2015-09-15 06:00:00, TS
KROVANH,2015257N14152,2015, WP, MM,20,13.9,151.6,44.4,174.0,2015-09-13 18:00:00,2015-09-26 06:00:00, TS
NINE,2015258N12320,2015, NA, NA,9,11.5,-40.3,18.5,-49.4,2015-09-15 00:00:00,2015-09-19 12:00:00, DS
IDA,2015259N09336,2015, NA, NA,10,9.4,-24.2,24.1,-49.3,2015-09-15 12:00:00,2015-09-28 00:00:00, DS
NOT NAMED,2015259N20083,2015, NI, BB,8,19.6,83.5,21.0,74.5,2015-09-16 03:00:00,2015-09-19 00:00:00, NR
MALIA,2015260N12187,2015, EP, CP,18,11.9,-173.4,30.8,-173.5,2015-09-17 06:00:00,2015-09-23 00:00:00, NR
DUJUAN,2015263N14148,2015, WP, MM,21,13.5,148.1,28.7,116.7,2015-09-19 18:00:00,2015-09-30 06:00:00, TS
SIXTEEN,2015264N24246,2015, EP, MM,19,24.3,-113.7,29.2,-112.2,2015-09-20 18:00:00,2015-09-21 15:00:00, TS
NIALA,2015266N11214,2015, EP, CP,20,11.3,-146.3,14.1,-162.2,2015-09-23 06:00:00,2015-09-30 18:00:00, DS
MARTY,2015270N13257,2015, EP, MM,21,12.7,-102.8,16.4,-102.7,2015-09-26 12:00:00,2015-09-30 18:00:00, DS
JOAQUIN,2015270N27291,2015, NA, NA,11,26.8,-68.7,35.2,-7.7,2015-09-26 18:00:00,2015-10-15 00:00:00, DS
MUJIGAE,2015273N12130,2015, WP, MM,22,12.6,126.4,23.6,108.2,2015-09-30 18:00:00,2015-10-05 00:00:00, TS
OHO,2015274N13201,2015, EP, CP,22,12.8,-159.5,63.0,-138.0,2015-10-01 06:00:00,2015-10-10 12:00:00, NR
CHOI-WAN,2015274N17167,2015, WP, MM,23,16.9,166.9,55.8,153.5,2015-10-01 06:00:00,2015-10-11 18:00:00, TS
THREE,2015280N13071,2015, NI, AS,9,14.0,70.3,16.1,69.0,2015-10-09 00:00:00,2015-10-12 00:00:00, NR
NORA,2015282N11230,2015, EP, MM,23,10.6,-130.2,16.6,-152.7,2015-10-09 06:00:00,2015-10-15 18:00:00, DS
KOPPU,2015285N14151,2015, WP, MM,24,13.8,151.0,19.4,122.7,2015-10-12 00:00:00,2015-10-21 06:00:00, TS
CHAMPI,2015286N13161,2015, WP, MM,25,12.5,161.4,47.2,178.8,2015-10-13 00:00:00,2015-10-26 12:00:00, TS
OLAF,2015288N10243,2015, EP, MM,24,10.2,-117.0,26.2,-135.0,2015-10-15 00:00:00,2015-10-28 12:00:00, TS
PATRICIA,2015293N13266,2015, EP, MM,25,13.4,-94.0,23.2,-102.3,2015-10-20 06:00:00,2015-10-24 12:00:00, TS
CHAPALA,2015301N11065,2015, NI, AS,10,11.5,65.0,14.8,46.5,2015-10-28 03:00:00,2015-11-04 00:00:00, NR
MEGH,2015309N14067,2015, NI, AS,11,14.1,66.0,13.6,46.5,2015-11-05 00:00:00,2015-11-10 12:00:00, NR
NOT NAMED,2015312N11083,2015, NI, BB,12,10.7,83.7,12.4,79.3,2015-11-08 03:00:00,2015-11-10 03:00:00, NR
KATE,2015313N22289,2015, NA, NA,12,22.2,-71.5,40.7,-45.4,2015-11-08 18:00:00,2015-11-13 12:00:00, TS
IN-FA,2015321N04164,2015, WP, MM,27,3.5,163.6,29.6,150.4,2015-11-16 18:00:00,2015-11-27 06:00:00, TS
RICK,2015322N13253,2015, EP, MM,26,12.9,-107.1,20.2,-126.0,2015-11-18 06:00:00,2015-11-26 06:00:00, DS
ANNABELLE,2015323S05080,2016, SI, MM,1,-4.8,80.4,-23.5,77.8,2015-11-18 18:00:00,2015-11-27 06:00:00, TS
SANDRA,2015328N11260,2015, EP, MM,27,10.9,-100.5,24.2,-107.7,2015-11-23 12:00:00,2015-11-29 12:00:00, DS
